state,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andaman & Nicobar Islands,40921,41645,47522,50629,56304,61411,64712,68356,71896,72716,,114660,129532,145562,154233,161564,146995,163138,
Andhra Pradesh,25959,27179,29797,33217,33733,35677,37708,38556,39645,42170,44831,88609,94115,103177,108853,110587,105880,117464,123526
Arunachal Pradesh,26721,26870,27675,30287,32028,33893,34548,35527,33805,36019,37683,88768,91311,94001,99570,113081,106002,111776,
Assam,16782,17050,17579,18089,18922,20406,21146,21741,22273,23392,23968,50642,53575,57835,59943,61519,61304,65726,69826
Bihar,7914,7588,8759,9070,10297,10635,12090,13149,14356,15506,16801,24064,25455,26719,29092,29798,26820,28679,31280
Chandigarh,74173,78167,85372,86923,88298,87751,83319,80801,79153,82798,,195205,208231,218201,227231,239289,209368,219778,
Chhattisgarh,18559,18530,21580,22929,23926,24189,25991,27163,28087,28373,29047,61433,67139,68374,75438,76749,73259,78377,83511
Delhi,63877,69128,76243,83243,91845,97525,103619,106677,112441,118411,125809,233115,244255,252960,257597,260559,234569,252024,271019
Goa,76968,80844,86257,87085,90409,95320,110306,129397,132220,137401,,278601,305875,308296,308753,313973,298527,310201,
Gujarat,32021,36102,38568,42498,43685,49168,53813,56634,59157,63168,,120683,129738,143604,154887,164060,156285,170384,
Haryana,37972,40627,44423,47046,49780,55044,57797,61716,64052,67260,71493,137833,150259,156200,169604,170616,155756,172657,181961
Himachal Pradesh,33348,35806,38195,40143,41666,43492,46682,49203,51730,54494,,112723,122208,129303,136292,140944,134111,143639,152376
Jammu & Kashmir,21734,22406,23375,24470,25641,26518,27666,28790,30035,31448,30612,61388,62398,65621,69183,,,,
Jammu & KashmirU.T.,,,,,,,,,,,,,,,,68437,65444,72574,77891
Jharkhand,18510,17406,17427,20996,19867,21534,24330,25265,27010,28882,30950,44524,48826,52277,56133,55658,51464,56559,60033
Karnataka,26882,29295,31967,35574,37687,37294,40699,41492,43266,46012,48907,116813,131186,140745,149024,156086,149030,164471,176383
Kerala,32351,35492,38113,41315,43644,47360,50146,52808,55643,58961,,120387,129251,137181,147347,147951,132531,148810,
Madhya Pradesh,15442,15927,17073,17572,19462,20959,21706,23272,24867,26853,29218,47351,52782,54824,59005,60452,56320,61534,65023
Maharashtra,36077,40671,45582,50138,50183,54246,59587,61276,65095,69097,72200,122889,133686,137808,140782,142211,127970,138490,
Manipur,18547,19341,19250,19868,20861,21810,20711,22169,23130,24042,,46389,47151,51211,48106,49267,44449,49602,
Meghalaya,23079,24278,25471,25633,28223,29306,31418,34232,34706,37154,39503,56039,57752,58493,60132,61755,60522,63295,65114
Mizoram,24662,25826,26308,28467,31921,34699,40072,37921,39347,41094,,91845,99089,117272,119022,130741,116229,129785,
Nagaland,30441,33072,35074,37317,39041,40590,43992,46340,48111,49963,51888,60663,64259,66813,70218,73361,68272,70020,
Odisha,17650,18194,20194,21640,22963,22846,23968,24542,25163,24929,26531,57806,66416,71032,75421,76462,73357,81178,87361
Puducherry,48302,60046,61142,64749,69374,80363,84142,80517,87470,94787,102965,121000,126532,134934,155466,153166,135586,155246,
Punjab,33103,34096,37087,39567,41003,42831,44769,46325,47854,49529,51403,100141,105848,110857,115592,118487,113025,118227,123614
Rajasthan,18565,19445,21342,21922,23356,24304,27502,29612,30839,31836,33186,68565,71324,73529,73975,76643,73140,80545,86134
Sikkim,26690,29008,30293,31722,35394,60774,66136,73704,78427,83527,,195066,207355,232483,240743,248691,237212,246526,259938
Tamil Nadu,30062,34126,39166,41314,43193,47394,53507,57093,58360,62361,66635,115875,123206,133029,141844,144845,143482,154557,166727
Telangana,24409,27921,30562,33271,37436,37183,43354,45277,47100,48881,51017,112267,121512,131503,146777,153286,140703,158202,169006
Tripura,24394,25688,27558,29022,31711,34544,36718,39608,43574,47261,,61612,69860,75020,82313,83985,79123,85210,91853
Uttar Pradesh,12950,13445,14241,14875,15713,16390,17388,18014,18635,19233,20057,36973,40847,41771,42333,43061,39735,43420,47066
Uttarakhand,24726,27781,30644,35444,38621,44557,48525,52606,55375,59161,63820,127249,138784,148011,150179,150820,137987,149015,158245
West Bengal,22649,23808,25400,27094,27914,29799,31314,32164,34177,36293,38624,57255,60618,64007,68195,69559,63562,69890,75561