state,primary-boys,primary-girls,primary-total
Andhra Pradesh,50.86,40.93,46.03
Assam,69.41,52.42,61.12
Bihar,42.43,23.13,33.55
Gujarat,72.06,58.00,65.39
Haryana,67.17,61.09,64.37
Karnataka,70.94,61.06,66.08
Kerala,97.15,93.24,95.22
Madhya Pradesh,75.03,48.09,62.25
Maharashtra,89.28,83.29,86.40
Odisha,46.84,29.72,38.40
Punjab,67.29,65.02,66.22
Rajasthan,78.57,33.60,57.56
Tamil Nadu,89.18,85.30,87.28
Uttar Pradesh,48.88,26.41,38.57
West Bengal,56.99,43.60,50.50
India,64.19,48.64,56.80